Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
65,Passionfruit,Drake,2017,miles;passive;things;passionate;fallin;passin;fuck;old;record;shit;mothafuckin;soul;addiction;minute;ritualistic;trust;play;harder;seein;mothafucka,whole;ritualistic;old;fallin;right;more;ayy;picket;things;harder;mothafuckin;fuck;passin;'cause;passionate;passive;miles;record;shit;seein,fuck;shit;mothafuckin;record;hold;minute;ayy;play;mothafucka;more;old;whole;ritualistic;things;fallin;passin;passionate;miles;passive;picket,miles;passive;things;passionate;fallin;passin;old;fuck;record;shit;mothafuckin;soul;addiction;minute;ritualistic;trust;play;harder;seein;mothafucka
66,Loyalty,Kendrick Lamar,2017,loyal;bitch;name;high;girl;comin;tonight;anybody;sides;good;switchin;hard;lord;better;lights;millenniums;real;dark;resume;wave,loyalty;loyalty;bad;bad;kung;loyal;premium;swerve;better;real;fast;big;bitch;other;pussy;somethin';loud;king;switchin;name,loyalty;bad;pussy;bad;kung;swerve;girl;tonight;better;ooh;premium;real;right;somethin';switchin;bitch;fast;secret;sides;resume,loyal;bitch;high;girl;name;tonight;comin;good;anybody;sides;switchin;hard;lord;better;premium;millenniums;lights;real;resume;dark
67,Praying,Kesha,2017,changin;soul;peace;knees;prayin;flames;hell;truth;god;things;thunder;light;rain;name;life;night;wrong;best;proud;strength,changin;flames;'cause;light;thunder;peace;more;god;things;everything;nothing;best;wrong;soul;prayin;hell;proud;life;night;rain,nothing;everything;flames;hell;peace;prayin;soul;more;name;knees;'cause;thunder;light;strength;rain;things;god;truth;night;life,changin;soul;peace;knees;prayin;flames;hell;truth;god;things;thunder;light;rain;name;life;night;wrong;best;proud;strength
68,Goosebumps,Travis Scott,2017,goosebumps;time;side;pussy;fine;worried;everything;building;comments;mind;heimlich;numb;low;dumb;sippin;bible;never;line;green;moments,cute;onyx;low;mama;pop;pussy;goosebumps;time;shady;never;top;green;heimlich;high;building;peter;best;line;side;sippin,goosebumps;time;heimlich;side;mind;comments;oooh;night;onyx;everything;low;cute;pop;sippin;never;top;green;best;pussy;shady,goosebumps;time;side;pussy;fine;worried;everything;building;comments;mind;heimlich;numb;low;dumb;sippin;bible;never;line;green;moments
69,Cold,Maroon 5,2017,cold;whoa;breath;something;bones;time;feel;different;door;space;letter;distant;covers;gold;never;day;light;tryna;mill;thinking,cold;cold;cold;letter;different;space;light;gold;whoa;separate;door;mill;priceless;day;tryna;use;silence;tongue;covers;heart,cold;cold;whoa;different;space;breath;bones;something;time;space;distant;feel;letter;in;house;girl;covers;separate;use;thinking,cold;whoa;cold;breath;something;bones;time;different;feel;never;distant;space;door;covers;letter;gold;day;light;tryna;house
70,Broccoli,DRAM,2017,shit;nigga;mama;pussy;broccoli;party;throwin;real;ayy;ayy;finna;tellin;middle;bows;rollin;skip;cut;years;couple;epic,real;nigga;good;ayy;baby;golden;nigga;party;spanish;niggas;skip;years;rapper;party;shit;broccoli;pussy;ayy;niggas;cheese,ayy;ayy;real;nigga;tellin;shit;nigga;baby;columbine;mama;dirty;niggas;skip;pussy;spanish;broccoli;party;own;throwin;broccoli,nigga;shit;mama;pussy;broccoli;party;throwin;real;ayy;ayy;finna;tellin;middle;skip;bows;rollin;cut;years;baby;couple
71,Slide,Calvin Harris,2017,pipe;spotlight;boy;nights;put;diamonds;clear;bank;buy;picasso;hot;mama;average;link;dark;side;past;face;arms;slide,good;panties;lights;diamonds;good;end;picasso;rick;bank;paparazzi;arms;spotlight;college;average;pipe;hot;brain;dark;put;favorite,bank;pipe;boy;buy;spotlight;end;nights;put;side;slide;arms;good;panties;diamonds;good;dark;favorite;face;wrist;lights,spotlight;pipe;boy;nights;put;clear;diamonds;bank;buy;picasso;hot;mama;link;dark;average;side;arms;face;slide;lights
72,What Ifs,Kane Brown,2017,days;last;name;game;stars;fools;sun;world;burnin;turnin;ifs;girl;sky;somebody;mind;heart;awe,last;days;ifs;burnin;c'mon;awe;game;fools;mind;girl;turnin;world;sun;sky;stars;name;heart;somebody,last;days;girl;mind;fools;game;stars;somebody;ifs;name;sky;sun;world;turnin;awe;c'mon;heart,days;last;name;game;stars;fools;sun;world;burnin;turnin;ifs;girl;sky;somebody;mind;heart;awe
73,Chained to the Rhythm,Katy Perry,2017,rhythm;comfortable;free;one;favorite;distortion;zombie;repeat;bubble;trouble;liars;party;turn;colored;break;desire;high;ornaments;happily;enough,favorite;trouble;bubble;white;comfortable;high;liars;many;rhythm;free;tone;colored;distortion;truth;empire;zombie;mat;ay;one;lens,bubble;trouble;white;lens;lives;ornaments;colored;free;distortion;rhythm;zombie;party;turn;happily;utopia;one;nothing;repeat;high;mat,rhythm;comfortable;free;one;favorite;distortion;zombie;repeat;bubble;liars;trouble;party;turn;colored;high;break;desire;empire;truth;ornaments
74,Feels,Calvin Harris,2017,afraid;feels;top;chase;pills;baby;way;ride;phone;kiss;little;air;airbnb;lipsticks;first;fave;clutch;alone;wrong;parakeet,afraid;woah;little;afraid;chase;same;little;long;goggles;window;first;wrong;right;feels;mental;fave;old;maximum;memory;x,minute;nothing;afraid;mental;chase;little;little;moment;feels;top;window;kiss;baby;long;memory;ride;same;virtual;right;wrong,afraid;feels;top;chase;pills;baby;way;ride;phone;kiss;little;air;airbnb;lipsticks;first;fave;clutch;alone;wrong;parakeet
75,All Time Low,Jon Bellion,2017,shit;pride;reason;lie;name;armor;movie;right;time;ghost;perfect;example;lips;aftertaste;stacks;alone;knight;prototype;girlfriends,low;low;low;broken;l;lie;perfect;time;right;name;shit;movie;armor;lips;aftertaste;reason;ghost;example;stacks;knight,l;lie;time;armor;movie;knight;lips;shit;aftertaste;name;ghost;reason;prototype;stacks;perfect;pride;example;cd;girlfriends,shit;pride;reason;lie;name;armor;movie;right;time;ghost;perfect;example;lips;aftertaste;stacks;alone;knight;prototype;girlfriends
76,Hurricane,Luke Combs,2017,hurricane;heart;shinin;stars;rain;hidin;drivin;moon;thunder;lightning;sight;wind;alright;whole;hair;good;whiskey;knew;eyes;ice,long;first;long;heart;good;wind;whole;heart;ice;shinin;hidin;hurricane;stars;thunder;alright;moon;drivin;rain;lights;hair,long;good;first;long;got;til;heart;wind;whole;hurricane;hopes;friends;heart;shinin;hidin;stars;thunder;ice;drivin;rain,hurricane;heart;stars;shinin;hidin;rain;drivin;moon;thunder;sight;lightning;alright;wind;hair;whole;good;heart;whiskey;eyes;knew
77,Too Good at Goodbyes,Sam Smith,2017,time;goodbyes;good;less;sad;chance;true;tears;baby;protectin;thinkin;dirt;case;innocence;cold;close;heartless;way;soul;ahhh,less;time;tears;less;good;goodbyes;fool;baby;true;sad;protectin;most;chance;thinkin;innocence;cold;new;stupid;'cause;heartless,fool;time;less;goodbyes;baby;tears;'cause;chance;dirt;case;innocence;ahhh;way;soul,time;goodbyes;good;less;sad;chance;true;tears;baby;protectin;thinkin;dirt;case;innocence;cold;close;heartless;way;soul;ahhh
78,Young Dumb & Broke,Khalid,2017,young;high;young;name;love;fun;moment;right;love;commitment;sure;common;much;sin;wrong;fun;time;life;everything,young;young;yadadadadadadada;young;high;high;fun;love;high;fun;love;name;right;sure;commitment;sin;wrong;time;much;life,dumb;young;young;high;love;fun;love;fun;name;moment;sin;everything;commitment;life;time,high;young;young;high;moment;yadadadadadadada;name;love;fun;love;fun;sin;right;commitment;sure;common;much;wrong;time;life
79,Magnolia,Playboi Carti,2017,bitch;rock;hoes;sock;london;new;opp;cash;niggas;block;whip;flock;rich;young;soldier;thotty;woo;gimme;fill;masi,ayy;young;rich;london;young;rich;carti;new;re;rich;whip;rock;sock;bitch;cash;sock;yo;sock;rich;cash,yo;new;yo;rich;re;rich;rock;ayy;sock;london;sock;young;bitch;sock;cash;carti;rich;hoes;cash;nigga,bitch;hoes;rock;london;sock;new;opp;cash;niggas;young;block;flock;global;young;whip;soldier;rich;woo;thotty;gimme
80,Love Galore,SZA,2017,things;niggas;bitches;baby;side;wreck;mo;gimme;yuh;skrt;ladies;love;fun;love;better;love;problem;hour;fire;one,love;love;side;personal;thing;real;love;p;skrt;thing;city;valium;wreck;side;mo;skrrr;night;yah;paper;titties,love;personal;love;skrt;p;skrt;niggas;tryna;wreck;yah;only;valium;baby;fun;ladies;thing;real;skrrr;paper;gimme,things;niggas;side;baby;bitches;wreck;mo;gimme;yuh;skrt;ladies;love;fun;hour;one;better;yah;love;love;problem
81,Drowning,A Boogie wit da Hoodie,2017,bust;drownin;bitch;niggas;light;fountain;cuban;wrist;projects;icy;heavy;water;attitude;mountain;goin;boogie;day;harley;deposit;family,compton;jamaican;scottie;bitch;bust;drownin;avianne;bouncer;nigga;light;brand;nigga;fountain;carlton;cuban;projects;icy;grammy;father;harley,drownin;bust;jamaican;bitch;light;cuban;icy;fountain;cuban;father;new;fountain;wrist;avianne;nigga;nigga;nigga;carlton;bouncer;water,bust;drownin;bitch;niggas;light;fountain;cuban;wrist;icy;projects;water;heavy;fountain;cuban;attitude;mountain;goin;carton;scottie;carlton
82,Starving,Hailee Steinfeld,2017,things;body;way;yesterday;something;whole;faster;knees;butterflies;weak;disaster;younger;head;heart;feet,faster;whole;younger;way;younger;head;things;disaster;something;yesterday;body;heart;weak;butterflies;knees;feet,whole;things;way;younger;body;faster;yesterday;something;butterflies;head;disaster;knees;heart;feet,things;yesterday;way;body;younger;something;whole;younger;butterflies;faster;knees;weak;disaster;head;heart;feet
83,Both,Gucci Mane,2017,drunk;high;hoes;life;nobody;fridge;joke;remote;man;location;famous;challenger;rubber;patek;folk;nig;amateur;yachty;southside;panties,patek;folk;red;challenger;remote;crooked;manners;granny;rubber;banister;lil;many;canada;high;young;strings;yachty;drunk;hoes;amateur,young;southside;many;canada;strings;red;patek;drake;challenger;banister;manners;rubber;crooked;granny;calendar;hoes;east;amateur;manager;stamina,drunk;high;hoes;life;nobody;fridge;joke;remote;man;location;famous;challenger;rubber;patek;folk;nig;amateur;yachty;southside;panties
84,What About Us,Pink,2017,ready;love;disaster;trust;plans;times;afters;happy;answers;billions;beautiful;stones;sticks;stars;rockets;dark;bones;start;control;man,da;la;ready;beautiful;trust;love;disaster;stars;searchlights;man;plans;afters;happy;answers;times;willin;billions;bones;rockets;children,searchlights;beautiful;rockets;dark;stars;billions;river;disaster;love;times;answers;trust;afters;plans;man;bones;children;problems;sticks;stones,ready;love;disaster;trust;plans;times;afters;happy;answers;billions;beautiful;stones;sticks;stars;rockets;dark;bones;start;control;man
85,Swalla,Jason Derulo,2017,swalla;yay;freaky;shimmy;shimmy;girls;bitch;servin;gram;sip;thirsty;good;met;beverly;red;cherry;lebron;heart;bless;shit,j;shimmy;freaky;shimmy;shimmy;freaky;yay;young;swalla;beverly;shimmy;swalla;shimmy;gram;bad;beverly;bad;drank;many;champagne,shimmy;young;shimmy;freaky;yay;shimmy;swalla;shimmy;shimmy;different;bad;yay;bad;many;girls;tonight;beverly;nuttin;fashion;servin,swalla;yay;freaky;shimmy;shimmy;girls;shimmy;servin;bitch;drank;thirsty;sip;gram;good;met;beverly;red;shimmy;cherry;lebron
86,Slippery,Migos,2017,bitch;perky;pop;young;rocks;auntie;cups;purple;water;rari;flexin;nawl;big;cops;box;tater;bugatti;forgis;oxycontin;lot,big;ice;fish;deko;knot;auntie;auntie;bad;money;young;big;auntie;retro;college;water;tater;pop;murderer;perky;bitch,knot;pop;de;perky;cups;purple;bad;tater;bitch;water;out;radar;crocodile;fuck;o'clock;gator;water;big;slippery;auntie,bitch;perky;pop;auntie;young;cups;rocks;purple;water;rari;flexin;grandma;big;nawl;freezy;debt;anemic;uncle;strong;greta
87,Sign of the Times,Harry Styles,2017,bullets;times;sign;good;alright;things;atmosphere;end;life;everything;way;baby;sky;door;crying;final;best;somewhere;much,final;times;best;sign;good;times;alright;life;everything;things;atmosphere;time;way;door;sky;baby;end;crying;somewhere;bullets,final;sign;times;best;door;bullets;way;baby;sky;everything;atmosphere;things;life;time;end;somewhere;crying,times;bullets;sign;times;good;alright;final;way;door;sky;things;best;atmosphere;end;life;baby;everything;crying;somewhere;much
88,Water Under the Bridge,Adele,2017,water;love;bridge;one;cold;wilderness;keeper;reckless;free;idea;honey;way;run;much;life;knees;door,love;bridge;one;water;only;honey;free;idea;run;keeper;wilderness;much;way;knees;cold;reckless;life;door,one;idea;honey;bridge;love;water;knees;way;wilderness;keeper;only;run;life;door,water;love;bridge;one;cold;wilderness;keeper;reckless;free;idea;honey;way;run;much;life;knees;door
89,Malibu,Miley Cyrus,2017,next;malibu;blue;sky;sun;cause;fish;birds;dream;feet;free;true;hot;brand;summer;shore;sand;wind;rest;life,malibu;next;malibu;brand;birds;floatin;cause;blue;sky;free;sun;hot;fish;'cause;nothing;same;life;rest;shore;sand,malibu;ocean;next;sun;malibu;shore;birds;sand;beach;feet;sky;'cause;floatin;wind;new;rest;life;cause;brand;dream,next;malibu;malibu;blue;sky;sun;cause;fish;birds;feet;free;shore;sand;wind;hot;summer;rest;life;dream;true
90,Down,Marian Hill,2017,baby;floor;right;hands;many;peoples;quiet;single;safe;reason;air;time;show;light,d;d;d;d;quiet;single;many;right;baby;other;floor;reason;more;air;peoples;show;safe;time;hands;light,d;d;d;single;other;many;quiet;baby;floor;right;show;peoples;air;hands;reason;time,baby;floor;right;hands;many;peoples;quiet;single;safe;reason;air;time;show;light
91,No Promises,Cheat Codes,2017,love;careful;simple;baby;water;dive;promises;bottom;deep;easy;one;bones;habit;oughta;heart;something;knife;nothing,careful;baby;water;simple;bottom;love;dive;deep;promises;bones;other;oughta;habit;easy;one;heart;knife;something;nothing,baby;bones;water;dive;bottom;love;knife;habit;oughta;promises;heart;one;something;nothing,love;careful;simple;baby;water;dive;promises;bottom;deep;easy;one;bones;habit;oughta;heart;something;knife;nothing
92,Treat You Better,Shawn Mendes,2017,time;fine;gentleman;girl;alone;hand;sign;baby;wrong;loving;second;everything;different;one;face;right,fine;time;promise;gentleman;wrong;'cause;baby;one;face;everything;hand;sign;different;girl;alone;loving;second;right,time;gentleman;wrong;face;one;girl;fine;promise;baby;'cause;everything;sign;hand;loving,time;gentleman;girl;fine;hand;alone;sign;promise;baby;wrong;loving;second;everything;different;one;face;right
93,I Get the Bag,Gucci Mane,2017,bag;easy;dope;drop;bitch;droppin;real;fleek;fast;lil;stash;thot;italy;cash;fumble;spot;lot;car;blunt;foreign,easy;neck;casket;convertible;traffic;savage;masters;trapper;tragic;plastic;baby;drop;bag;dope;cocaine;top;money;fleek;spot;lil,drop;southside;southside;convertible;top;gucci;young;future;ooh;easy;foreign;neck;casket;dope;savage;traffic;masters;trapper;tragic;plastic,bag;drop;easy;dope;bitch;droppin;real;top;fleek;southside;ooh;fast;lil;fumble;cash;stash;thot;italy;lot;spot
94,Small Town Boy,Dustin Lynch,2017,boy;girl;baby;ride;cool;crazy;front;anybody;little;cold;old;fist;little;mama;full;city;dance;headlights;scared;dirt,small;fist;boy;little;little;end;old;old;full;cold;front;city;girl;t;ride;bright;rock;scared;sure;crazy,small;boy;little;dirt;little;cold;end;mama;headlights;front;girl;ride;baby;old;old;t;full;damn;city;sure,boy;girl;small;mama;baby;ride;cool;cold;little;fist;crazy;anybody;front;headlights;little;end;old;dirt;damn;dance
95,Everyday We Lit,YFN Lucci,2017,rich;nigga;everyday;bitch;diamonds;nothing;wrist;quick;rollie;member;neck;name;foreign;new;cars;chain;boy;mom;froze;fuckin,nigga;nigga;diamonds;nothing;new;own;gettin;new;chain;rich;bitch;diamonds;yo;own;foreign;boy;block;wrist;everyday;cars,nigga;nigga;nothing;own;bitch;everyday;diamonds;yo;wrist;neck;niggas;chain;loan;froze;rollie;nobody;member;new;new;boy,rich;nigga;everyday;bitch;diamonds;nothing;wrist;gettin;quick;rollie;neck;member;nigga;niggas;name;new;foreign;cars;chain;boy
96,Havana,Camila Cabello,2017,hey;heart;east;half;ooh;fresh;girls;manners;shawty;june;summer;papa;uncle;traffic;jeffery;point;quick;bumper;close;makin,mula;hey;havana;heart;east;campus;shawty;summer;shawty;close;uncle;manners;traffic;half;point;makin;fresh;girl;papa;june,hey;mula;havana;heart;east;half;campus;na;manners;manners;jeffery;somethin';traffic;ooh;summer;bumper;shawty;uncle;room;lot,hey;heart;half;havana;east;ooh;manners;girls;fresh;june;summer;shawty;papa;lot;minute;uncle;malo;jeffery;room;traffic
97,What Lovers Do,Maroon 5,2017,ooh;tryna;lovers;lucky;baby;wishin;house;grown;changin;old;say;mess;young;thing;games;mama;gate,better;ooooh;baby;ooh;tryna;baby;wishin;lovers;say;old;grown;lucky;changin;mama;thing;young;mess;house;games;gate,baby;ooooh;baby;say;mama;tryna;ooh;thing;lovers;house;changin;mess;young;games;gate,ooh;tryna;lovers;lucky;baby;baby;house;wishin;mama;grown;changin;thing;old;say;mess;young;games;gate
98,Do Re Mi,Blackbear,2017,fuckin;girl;note;ghost;little;nothing;crazy;games;day;good;tic;bed;friends;fuck;shoulder;glass;town;lord;xanax;sound,shoulder;incompetent;xanax;tic;stay;little;x;range;note;fuckin;sound;bag;girl;friends;mi;glass;day;one;bed;ghost,mi;little;tic;x;fuckin;girl;note;ghost;range;incompetent;games;next;xanax;sound;day;bed;nothing;town;one;glass,fuckin;girl;note;ghost;little;nothing;crazy;games;day;good;tic;bed;friends;fuck;shoulder;glass;town;lord;xanax;sound
99,Look at Me!,XXXTentacion,2017,bitch;ayy;yah;uzi;dick;mans;wrist;yah;pants;vro;tommy;booth;hilfiger;starbucks;shit;boof;parents;uzi;lean;hole,yah;yah;ayy;yah;curly;uzi;main;white;emo;little;ayy;yah;bitch;ayy;yah;wrist;hilfiger;mormon;fuck;wrist,yah;ayy;yah;ayy;uzi;ayy;yah;yah;curly;white;emo;little;main;bitch;fuck;mans;damn;dick;wrist;uzi,ayy;bitch;yah;dick;uzi;mans;yah;yah;pants;wrist;vro;yah;fuck;tommy;uzi;booth;hilfiger;pipe;boof;shit
100,The Fighter,Keith Urban,2017,scared;tighter;fighter;love;precious;beautiful;mirror;next;one;pain;baby;god;little,love;precious;little;next;love;scared;heart;fighter;beautiful;tighter;one;mirror;pain;baby;only;god,precious;love;heart;love;next;little;fighter;pain;mirror;one;baby;god,scared;tighter;fighter;love;precious;beautiful;mirror;pain;one;next;love;god;baby;heart;little
1,God's Plan,Drake,2018,things;ayy;god;lot;yuh;wishin;north;plan;story;sure;broskies;someone;weston;sorry;fifty;mama;movin;different;tryna;calm,scarlett;southside;plan;g;bad;southside;north;ayy;north;fifty;story;god;plan;o3;weston;things;yuh;o2;trouble;struggle,bad;southside;g;north;things;plan;southside;north;yuh;ayy;trouble;struggle;tryna;lot;calm;weston;god;story;plan;movin,things;god;ayy;bad;lot;yuh;plan;story;wishin;plan;broskies;north;different;sure;someone;tryna;peaceful;brothers;weston;calm
2,Perfect,Ed Sheeran,2018,barefoot;arms;love;baby;perfect;darling;grass;favourite;dark;eyes;girl;kids;future;alright;hand;girl;man;woman;anyone;children,perfect;time;favorite;girl;love;favourite;perfect;darling;woman;dark;grass;barefoot;arms;baby;girl;kids;time;beautiful;secrets;eyes,love;time;perfect;kids;favorite;girl;darling;lead;secrets;favourite;children;dark;'cause;grass;time;someone;arms;barefoot;baby;home,love;barefoot;arms;baby;perfect;grass;darling;favourite;dark;girl;eyes;favorite;kids;sweet;woman;anyone;future;alright;time;hand
3,Meant to Be,Bebe Rexha,2018,baby;time;thing;pretty;dash;whoa;nothing;girl;need;kick;fake;heart;boy;tired;couple;uptight;right;everything;beautiful;alright,couple;fake;pretty;couple;nothing;right;boy;tired;'cause;girl;kick;everything;time;beautiful;need;dash;heart;whoa;baby;uptight,pretty;baby;kick;dash;need;nothing;couple;time;everything;couple;fake;road;heart;boy;'cause;girl;whoa;lie;thing,baby;time;nothing;thing;pretty;dash;need;kick;right;whoa;everything;girl;fake;boy;tired;heart;couple;couple;alright;road
4,Havana,Camila Cabello,2018,hey;heart;east;half;ooh;fresh;girls;manners;shawty;june;summer;papa;uncle;traffic;jeffery;point;quick;bumper;close;makin,mula;hey;havana;heart;east;campus;shawty;summer;shawty;close;uncle;manners;traffic;half;point;makin;fresh;girl;papa;june,hey;mula;havana;heart;east;half;campus;na;manners;manners;jeffery;somethin';traffic;ooh;summer;bumper;shawty;uncle;room;lot,hey;heart;half;havana;east;ooh;manners;girls;fresh;june;summer;shawty;papa;lot;minute;uncle;malo;jeffery;room;traffic
5,Rockstar,Post Malone,2018,fuckin;man;rockstar;pillies;cop;poppin;hoes;hundred;rasta;thing;brothers;grrra;gas;shottas;smokin;block;homies;uzi;stage;prolly,star;rockstar;rockstar;cop;henny;hills;rockstar;cop;fuckin;hundred;table;outta;hahahahaha;car;bitches;hard;old;bon;green;montage,rockstar;hills;fuckin;ayy;rockstar;hoes;rockstar;poppin;man;pillies;cop;cop;smokin;gas;rasta;uzi;shottas;car;ta;homies,fuckin;man;rockstar;pillies;cop;poppin;hoes;hundred;rasta;brothers;thing;gas;grrra;shottas;smokin;homies;block;uzi;legendary;stage
